datetime,active_addresses_1h,dev_activity,dev_activity_contributors_count,github_activity,github_activity_contributors_count,volume_usd
2022-11-29 00:00:00+00:00,79671.0,0.0,0.0,2.0,2.0,27535610547.0
2022-11-29 01:00:00+00:00,35604.0,5.0,2.0,7.0,4.0,25928078576.0
2022-11-29 02:00:00+00:00,37453.0,0.0,0.0,2.0,1.0,24545855116.0
2022-11-29 03:00:00+00:00,39491.0,3.0,2.0,5.0,3.0,24032473961.0
2022-11-29 04:00:00+00:00,55745.0,3.0,1.0,4.0,1.0,24824372831.0
2022-11-29 05:00:00+00:00,65682.0,3.0,1.0,6.0,4.0,25294001005.0
2022-11-29 06:00:00+00:00,33629.0,2.0,1.0,7.0,4.0,25225952235.0
2022-11-29 07:00:00+00:00,33268.0,0.0,0.0,0.0,0.0,25273423551.0
2022-11-29 08:00:00+00:00,75191.0,14.0,3.0,21.0,7.0,25775099714.0
2022-11-29 09:00:00+00:00,45976.0,0.0,0.0,1.0,1.0,25917954378.0
2022-11-29 10:00:00+00:00,43287.0,12.0,3.0,19.0,9.0,26105635867.0
2022-11-29 11:00:00+00:00,72777.0,1.0,1.0,11.0,6.0,25262719735.0
2022-11-29 12:00:00+00:00,32563.0,5.0,2.0,11.0,6.0,25150769421.0
2022-11-29 13:00:00+00:00,82820.0,1.0,1.0,8.0,7.0,25394224502.0
2022-11-29 14:00:00+00:00,70490.0,25.0,8.0,36.0,12.0,25520900214.0
2022-11-29 15:00:00+00:00,73977.0,8.0,3.0,14.0,7.0,25554547324.0
2022-11-29 16:00:00+00:00,53769.0,14.0,5.0,20.0,10.0,24642853050.0
2022-11-29 17:00:00+00:00,37324.0,12.0,4.0,16.0,8.0,23544176062.0
2022-11-29 18:00:00+00:00,70863.0,8.0,4.0,13.0,8.0,23299403014.0
2022-11-29 19:00:00+00:00,93152.0,7.0,3.0,8.0,4.0,23379400178.0
2022-11-29 20:00:00+00:00,37466.0,1.0,1.0,2.0,2.0,23621525197.0
2022-11-29 21:00:00+00:00,13716.0,4.0,2.0,13.0,6.0,23476871139.0
2022-11-29 22:00:00+00:00,74415.0,7.0,2.0,11.0,5.0,23509390638.0
2022-11-29 23:00:00+00:00,77925.0,6.0,3.0,9.0,3.0,23581685467.0
2022-11-30 00:00:00+00:00,72417.0,3.0,2.0,7.0,4.0,24919202407.0
2022-11-30 01:00:00+00:00,62217.0,2.0,1.0,18.0,9.0,25820218774.0
2022-11-30 02:00:00+00:00,58037.0,0.0,0.0,1.0,1.0,26721698828.0
2022-11-30 03:00:00+00:00,44454.0,5.0,1.0,7.0,3.0,26943927900.0
2022-11-30 04:00:00+00:00,54890.0,0.0,0.0,4.0,4.0,26293756588.0
2022-11-30 05:00:00+00:00,49552.0,0.0,0.0,2.0,2.0,25512211075.0
2022-11-30 06:00:00+00:00,43506.0,2.0,1.0,3.0,2.0,25447339900.0
2022-11-30 07:00:00+00:00,48099.0,0.0,0.0,4.0,2.0,25336987001.0
2022-11-30 08:00:00+00:00,43992.0,0.0,0.0,1.0,1.0,24851798367.0
2022-11-30 09:00:00+00:00,52644.0,11.0,2.0,19.0,8.0,25095408645.0
2022-11-30 10:00:00+00:00,43689.0,7.0,3.0,9.0,5.0,24794434905.0
2022-11-30 11:00:00+00:00,13135.0,6.0,4.0,10.0,5.0,24630710738.0
2022-11-30 12:00:00+00:00,85252.0,2.0,2.0,8.0,5.0,24701509306.0
2022-11-30 13:00:00+00:00,36353.0,6.0,2.0,6.0,2.0,25299158337.0
2022-11-30 14:00:00+00:00,51921.0,14.0,4.0,16.0,6.0,25001293924.0
2022-11-30 15:00:00+00:00,52755.0,6.0,3.0,14.0,9.0,24641791219.0
2022-11-30 16:00:00+00:00,29691.0,9.0,4.0,10.0,5.0,24692106750.0
2022-11-30 17:00:00+00:00,98737.0,8.0,5.0,11.0,8.0,24992059386.0
2022-11-30 18:00:00+00:00,29538.0,3.0,2.0,7.0,6.0,26208325843.0
2022-11-30 19:00:00+00:00,64261.0,2.0,1.0,5.0,4.0,27638526539.0
2022-11-30 20:00:00+00:00,82021.0,8.0,3.0,11.0,4.0,27882065250.0
2022-11-30 21:00:00+00:00,84255.0,1.0,1.0,4.0,4.0,28320861659.0
2022-11-30 22:00:00+00:00,69127.0,1.0,1.0,9.0,7.0,28623300000.0
2022-11-30 23:00:00+00:00,29165.0,1.0,1.0,2.0,2.0,29523576583.0
2022-12-01 00:00:00+00:00,76091.0,0.0,0.0,1.0,1.0,28867521521.0
2022-12-01 01:00:00+00:00,53156.0,0.0,0.0,2.0,2.0,27858510277.0
2022-12-01 02:00:00+00:00,97451.0,0.0,0.0,4.0,4.0,26875543956.0
2022-12-01 03:00:00+00:00,69042.0,0.0,0.0,4.0,4.0,26495354944.0
2022-12-01 04:00:00+00:00,53509.0,0.0,0.0,2.0,2.0,26166569651.0
2022-12-01 05:00:00+00:00,63527.0,0.0,0.0,3.0,3.0,26125014354.0
2022-12-01 06:00:00+00:00,58565.0,0.0,0.0,1.0,1.0,25923202047.0
2022-12-01 07:00:00+00:00,62220.0,0.0,0.0,0.0,0.0,25739358513.0
2022-12-01 08:00:00+00:00,48060.0,0.0,0.0,2.0,2.0,25734562483.0
2022-12-01 09:00:00+00:00,25863.0,11.0,2.0,21.0,8.0,25488611915.0
2022-12-01 10:00:00+00:00,14276.0,0.0,0.0,0.0,0.0,25512232543.0
