datetime,active_addresses_1h,dev_activity,dev_activity_contributors_count,github_activity,github_activity_contributors_count,volume_usd
2022-11-29 00:00:00+00:00,41959.0,4.0,3.0,12.0,9.0,7276035037.0
2022-11-29 01:00:00+00:00,29157.0,8.0,3.0,13.0,8.0,6874474769.0
2022-11-29 02:00:00+00:00,30705.0,4.0,3.0,14.0,11.0,6583698484.0
2022-11-29 03:00:00+00:00,31582.0,6.0,3.0,12.0,8.0,6506143844.0
2022-11-29 04:00:00+00:00,30004.0,11.0,5.0,17.0,9.0,6840379822.0
2022-11-29 05:00:00+00:00,29648.0,12.0,4.0,19.0,10.0,7214300195.0
2022-11-29 06:00:00+00:00,23184.0,3.0,3.0,10.0,10.0,7305301271.0
2022-11-29 07:00:00+00:00,24828.0,11.0,4.0,17.0,9.0,7380271180.0
2022-11-29 08:00:00+00:00,25988.0,21.0,6.0,33.0,14.0,7782072728.0
2022-11-29 09:00:00+00:00,24431.0,13.0,9.0,26.0,17.0,7928199657.0
2022-11-29 10:00:00+00:00,25351.0,33.0,10.0,49.0,20.0,7982435309.0
2022-11-29 11:00:00+00:00,28472.0,49.0,10.0,58.0,15.0,8077889767.0
2022-11-29 12:00:00+00:00,26024.0,50.0,11.0,68.0,20.0,8100991025.0
2022-11-29 13:00:00+00:00,27031.0,30.0,9.0,45.0,20.0,8153136564.0
2022-11-29 14:00:00+00:00,29719.0,22.0,8.0,35.0,19.0,8143229018.0
2022-11-29 15:00:00+00:00,29533.0,35.0,16.0,55.0,30.0,7986049605.0
2022-11-29 16:00:00+00:00,29812.0,28.0,14.0,50.0,23.0,7665789296.0
2022-11-29 17:00:00+00:00,30605.0,8.0,5.0,34.0,17.0,7351894289.0
2022-11-29 18:00:00+00:00,28941.0,56.0,8.0,75.0,17.0,7338530339.0
2022-11-29 19:00:00+00:00,31257.0,20.0,10.0,38.0,15.0,7436312320.0
2022-11-29 20:00:00+00:00,28812.0,19.0,4.0,28.0,12.0,7611991126.0
2022-11-29 21:00:00+00:00,30446.0,18.0,10.0,27.0,17.0,7612334815.0
2022-11-29 22:00:00+00:00,26750.0,28.0,11.0,37.0,16.0,7614287862.0
2022-11-29 23:00:00+00:00,24533.0,11.0,5.0,18.0,10.0,7639405818.0
2022-11-30 00:00:00+00:00,27222.0,4.0,2.0,14.0,9.0,8640093124.0
2022-11-30 01:00:00+00:00,32978.0,4.0,2.0,9.0,7.0,9001541997.0
2022-11-30 02:00:00+00:00,29509.0,15.0,3.0,16.0,4.0,9151208260.0
2022-11-30 03:00:00+00:00,28653.0,15.0,6.0,25.0,14.0,9167899246.0
2022-11-30 04:00:00+00:00,23753.0,9.0,3.0,13.0,6.0,8915515211.0
2022-11-30 05:00:00+00:00,23369.0,16.0,4.0,25.0,7.0,8521760579.0
2022-11-30 06:00:00+00:00,23515.0,11.0,5.0,19.0,12.0,8440365893.0
2022-11-30 07:00:00+00:00,22639.0,13.0,3.0,18.0,7.0,8396085469.0
2022-11-30 08:00:00+00:00,24094.0,6.0,4.0,11.0,9.0,8207901157.0
2022-11-30 09:00:00+00:00,24597.0,18.0,6.0,28.0,12.0,8146188909.0
2022-11-30 10:00:00+00:00,24638.0,20.0,8.0,27.0,13.0,8029296182.0
2022-11-30 11:00:00+00:00,24573.0,15.0,11.0,22.0,15.0,7877408614.0
2022-11-30 12:00:00+00:00,25711.0,15.0,8.0,28.0,18.0,7822614027.0
2022-11-30 13:00:00+00:00,26481.0,49.0,11.0,72.0,19.0,8080288971.0
2022-11-30 14:00:00+00:00,29207.0,36.0,9.0,53.0,20.0,8079668250.0
2022-11-30 15:00:00+00:00,30323.0,21.0,7.0,38.0,20.0,7965406107.0
2022-11-30 16:00:00+00:00,30736.0,25.0,10.0,31.0,16.0,8093724157.0
2022-11-30 17:00:00+00:00,30423.0,29.0,11.0,43.0,19.0,8193224278.0
2022-11-30 18:00:00+00:00,28638.0,44.0,12.0,53.0,19.0,8755890953.0
2022-11-30 19:00:00+00:00,28517.0,14.0,4.0,26.0,12.0,9311017217.0
2022-11-30 20:00:00+00:00,27210.0,16.0,5.0,28.0,11.0,9337394694.0
2022-11-30 21:00:00+00:00,29353.0,28.0,10.0,40.0,15.0,9463728612.0
2022-11-30 22:00:00+00:00,27350.0,8.0,4.0,21.0,15.0,9499420492.0
2022-11-30 23:00:00+00:00,26422.0,7.0,3.0,16.0,9.0,9836925304.0
2022-12-01 00:00:00+00:00,24675.0,17.0,6.0,26.0,12.0,9172112479.0
2022-12-01 01:00:00+00:00,24479.0,1.0,1.0,5.0,5.0,8695718037.0
2022-12-01 02:00:00+00:00,23737.0,4.0,2.0,8.0,6.0,8463887840.0
2022-12-01 03:00:00+00:00,23088.0,0.0,0.0,8.0,8.0,8327349689.0
2022-12-01 04:00:00+00:00,23874.0,0.0,0.0,6.0,5.0,8226252874.0
2022-12-01 05:00:00+00:00,21365.0,1.0,1.0,7.0,6.0,8194238200.0
2022-12-01 06:00:00+00:00,22693.0,4.0,3.0,10.0,8.0,8120160262.0
2022-12-01 07:00:00+00:00,23960.0,3.0,2.0,8.0,5.0,8041874768.0
2022-12-01 08:00:00+00:00,25441.0,5.0,2.0,12.0,8.0,7938840800.0
2022-12-01 09:00:00+00:00,25691.0,6.0,4.0,29.0,17.0,7867773101.0
2022-12-01 10:00:00+00:00,23442.0,0.0,0.0,0.0,0.0,7985892170.0
