,metric,correlation,pvalue
0,30d_moving_avg_dev_activity_change_1d,0.4773791126287219,0.007638776348488887
1,active_addresses_1h,0.14806086217286277,0.4349072846571572
2,active_addresses_24h,-0.2327604026523018,0.2157916571403869
3,active_addresses_24h_change_1d,0.027191079518186084,0.8865828390336584
4,active_addresses_24h_change_30d,-0.8598405212267771,1.1493937746953284e-09
5,active_addresses_24h_change_7d,0.13062394789763457,0.4914447093005671
6,active_addresses_30d,-0.8343506342879528,1.0102456453852768e-08
7,active_addresses_7d,-0.6493744175467788,0.00010332054814742421
8,circulation,-0.7865297537684303,2.5650849456016947e-07
9,daily_active_addresses,-0.10589168683682303,0.5775837218447692
10,daily_avg_marketcap_usd,0.9756929697692733,5.3059430448692645e-20
11,daily_avg_price_usd,0.9756567590678131,5.4164793573185947e-20
12,daily_closing_marketcap_usd,0.9999977509185994,2.0747734885658214e-76
13,daily_closing_price_usd,0.9999992742842696,2.7519071861850555e-83
14,daily_high_price_usd,0.9510442568217206,8.236786297012345e-16
15,daily_low_price_usd,0.9799270949946104,3.73529769706302e-21
16,daily_opening_price_usd,0.9162612089450964,1.216402153239175e-12
17,daily_trading_volume_usd,0.2752623267022567,0.14096064686952633
18,dev_activity,-0.06104785354741594,0.7486166987003271
19,dev_activity_1d,-0.05252794766556584,0.7827996068655756
20,dev_activity_change_1d,-0.006337585411993628,0.9734850683181743
21,dev_activity_change_30d,-0.1854884024895208,0.32642372000090136
22,dev_activity_change_7d,-0.17416770812000146,0.35732028306135283
23,dev_activity_contributors_count,-0.02207399913100249,0.9078263184198924
24,github_activity,0.06728582110622397,0.7238781169491435
25,github_activity_contributors_count,0.12461384355034796,0.511759184498954
26,marketcap_usd_change_30d,0.9362023722438546,3.059636949357334e-14
27,marketcap_usd_change_7d,0.37041170730041034,0.043911256840439346
28,mcd_erc20_supply,-0.7865297537684303,2.5650849456016947e-07
29,price_btc,,
30,price_btc_change_1d,,
31,price_btc_change_30d,,
32,price_btc_change_7d,,
33,price_eth,-0.7289930953578323,4.904571951927776e-06
34,price_eth_change_1d,0.010810488139246321,0.9547865469789806
35,price_eth_change_30d,-0.6323871976854754,0.00017736302224129481
36,price_eth_change_7d,-0.1916340056291069,0.3103613436245128
37,price_usd_5m,0.9999965444177328,8.476028106421992e-74
38,price_usd_change_1d,0.11990405528712463,0.527962737525366
39,price_usd_change_1h,-0.07467864680322873,0.6949105678797377
40,price_usd_change_7d,0.3226097939309111,0.0820774795998845
41,rank,,
42,total_supply,-0.7865297537684303,2.5650849456016947e-07
43,twitter_followers,-0.7592610631255792,1.1488866898566472e-06
44,volume_usd,0.27546122103853526,0.14066205706436222
45,volume_usd_change_1d,0.10117982100713496,0.5947224794533504
46,volume_usd_change_30d,0.2138162456366662,0.2565687468699835
47,volume_usd_change_7d,0.24979375789929614,0.18310370424465802
